gene_name,GPT_Surface,GPT_Secreted,GPT_Intracellular,HPA_Score,UNI_Neg_Score,GPI_Score,CSPA_Score,TMHMM_Score,UNI_Score,UNI_CellSurface,Tier,Custom_Edit
ADCY9,85,-98,90,15,2,0,2,1,5,0,Tier1,0
ADCYAP1R1,80,-95,-80,0,2,0,NA,1,5,0,Tier1,0
ADD3,80,-95,80,10,2,0,NA,0,4,0,Tier1,0
ADGRA1,80,-90,-70,NA,3,0,NA,1,5,0,Tier1,0
ADGRA2,0,0,0,10,3,0,NA,1,5,0,Tier1,0
ADGRA3,90,-90,-75,NA,3,0,NA,1,5,0,Tier1,0
ADGRB1,90,-95,-90,NA,1,0,NA,1,4,0,Tier1,0
ADGRB2,80,-90,-80,9,3,0,NA,1,4,0,Tier1,0
ADGRB3,85,-90,-80,NA,3,0,NA,1,5,0,Tier1,0
ADGRD1,90,-95,-90,10,2,0,NA,1,5,0,Tier1,0
ADGRE1,99,-98,-98,NA,3,0,NA,1,5,0,Tier1,0
ADGRE2,95,-95,-95,0,3,0,NA,1,5,0,Tier1,0
ADGRE5,100,-100,-100,9,3,0,NA,1,4,0,Tier1,0
ADGRF1,80,-80,-80,NA,2,0,NA,1,4,0,Tier1,0
ADGRF2,90,-90,-90,NA,3,0,NA,1,5,0,Tier1,0
ADGRF3,80,-95,-85,0,3,0,NA,1,5,0,Tier1,0
ADGRF5,85,-80,-70,NA,2,0,NA,1,5,0,Tier1,0
ADGRG1,80,-95,-70,NA,3,0,NA,1,4,0,Tier1,0
ADGRG2,80,-70,-70,10,2,0,NA,1,5,0,Tier1,0
ADGRG3,100,-100,-100,NA,2,0,NA,1,5,0,Tier1,0
ADGRG4,90,-95,-85,NA,3,0,NA,1,5,0,Tier1,0
ADGRG5,90,-95,-95,0,3,0,NA,1,5,0,Tier1,0
ADGRG6,80,-90,-80,NA,2,0,NA,1,5,0,Tier1,0
ADGRG7,85,-95,-85,10,3,0,NA,1,5,0,Tier1,0
ADGRL2,95,-95,-90,10,3,0,NA,1,5,0,Tier1,0
ADGRL3,90,-95,-95,NA,3,0,NA,1,4,0,Tier1,0
ADGRL4,90,-80,-70,NA,2,0,NA,1,5,0,Tier1,0
ADGRV1,80,-95,-85,0,3,0,NA,1,5,0,Tier1,0
ADIPOR1,90,-95,-70,NA,2,0,NA,1,5,0,Tier1,0
ADIPOR2,85,-95,-85,NA,2,0,NA,1,5,0,Tier1,0
ADORA1,90,-95,-80,15,2,0,3,1,5,1,Tier1,0
ADORA2A,90,-95,-80,NA,2,0,NA,1,5,0,Tier1,0
ADORA2B,85,-95,-80,0,3,0,NA,1,0,0,Tier1,0
ADORA3,80,-95,-80,NA,2,0,NA,1,5,0,Tier1,0
ADRA1A,90,-95,-85,0,1,0,NA,1,4,0,Tier1,0
ADRA1B,80,-95,-85,10,2,0,NA,1,4,0,Tier1,0
ADRA1D,80,-95,-80,NA,3,0,NA,1,0,0,Tier1,0
ADRA2A,80,-95,-90,NA,2,0,3,1,5,1,Tier1,0
ADRA2B,90,-95,-90,0,2,0,NA,1,5,0,Tier1,0
ADRA2C,80,-95,90,NA,2,0,3,1,0,1,Tier1,0
ADRB2,80,-95,-70,15,1,0,3,1,3,1,Tier1,0
ADRB3,90,-90,-80,0,3,0,NA,1,0,0,Tier1,0
ADTRP,100,-100,-100,0,2,0,NA,1,5,0,Tier1,0
AEBP1,-95,-90,80,-1,0,0,3,0,-3,1,Tier1,0
AFAP1L2,90,-95,-70,5,1,0,NA,0,-1,0,Tier1,0
AGER,0,0,0,9,0,0,NA,1,3,0,Tier1,0
AGRN,0,0,0,4,1,0,3,1,3,1,Tier1,0
AGTR1,90,-95,-80,0,3,0,3,1,5,1,Tier1,0
AGTR2,90,-95,-75,NA,2,0,3,1,5,1,Tier1,0
AHNAK2,70,-95,70,5,1,0,NA,0,-1,0,Tier1,0
AHSG,60,75,-80,-1,2,0,3,0,0,1,Tier1,0
AJAP1,100,-100,-100,NA,2,0,NA,1,5,0,Tier1,0
AJM1,80,-95,-80,10,3,0,NA,0,5,0,Tier1,0
AKAP10,-95,-95,95,10,2,0,NA,1,-2,0,Tier1,0
AKAP12,80,-90,85,10,2,0,NA,0,-1,0,Tier1,0
AKT1,90,-95,90,5,0,0,NA,0,2,0,Tier1,0
ALCAM,99,-95,-95,-1,3,0,3,1,2,1,Tier1,0
ALK,95,-95,-85,10,2,0,NA,1,5,0,Tier1,0
ALOX5AP,90,-95,85,NA,1,0,NA,1,0,0,Tier1,0
ALPG,90,-95,-90,10,3,3,NA,0,0,0,Tier1,0
ALPI,0,0,0,10,3,2,NA,0,5,0,Tier1,0
ALPL,0,0,0,0,2,2,3,0,2,1,Tier1,0
ALPP,80,-70,-70,10,3,3,3,0,0,1,Tier1,0
AMBP,-90,90,-95,-1,2,0,3,0,0,1,Tier1,0
AMER2,80,-95,-80,10,3,0,NA,0,5,0,Tier1,0
AMFR,95,-95,-70,0,0,0,NA,1,4,0,Tier1,0
AMIGO1,90,-100,-80,0,3,0,3,1,3,1,Tier1,0
AMIGO2,100,-100,-100,10,2,0,3,1,4,1,Tier1,0
AMIGO3,90,-100,-90,NA,3,0,NA,1,0,0,Tier1,0
AMOT,70,-95,80,10,1,0,NA,0,0,0,Tier1,0
AMOTL1,90,-95,-85,5,2,0,NA,0,0,0,Tier1,0
AMPH,80,-95,90,5,1,0,NA,0,0,0,Tier1,0
ANGPT1,-100,100,-100,NA,2,0,3,0,-1,1,Tier1,0
ANGPTL1,-90,90,-90,NA,3,0,3,0,-1,1,Tier1,0
ANGPTL2,-80,75,-90,-1,3,0,3,0,0,1,Tier1,0
ANGPTL4,-100,100,-100,-1,3,0,3,0,-1,1,Tier1,0
ANK2,80,-95,90,10,1,0,NA,0,1,0,Tier1,0
ANK3,75,-95,90,10,2,0,NA,0,1,0,Tier1,0
ANKLE2,-100,-100,100,10,2,0,NA,1,-1,0,Tier1,0
ANKRD13B,80,-95,85,10,2,0,NA,0,4,0,Tier1,0
ANO1,0,0,0,10,2,0,NA,1,4,0,Tier1,0
ANO10,80,-95,80,15,3,0,NA,1,5,0,Tier1,0
ANO2,0,0,0,10,2,0,NA,1,5,0,Tier1,0
ANO3,0,0,0,10,3,0,NA,1,5,0,Tier1,0
ANO5,80,-95,-70,NA,2,0,3,1,4,1,Tier1,0
ANO6,0,0,0,10,2,0,3,1,5,1,Tier1,0
ANO8,100,-100,-100,NA,2,0,NA,1,5,0,Tier1,0
ANO9,0,0,0,0,2,0,3,1,4,1,Tier1,0
ANPEP,100,-100,-100,10,2,0,3,1,5,1,Tier1,0
ANTXR1,100,-100,-100,0,2,0,3,1,5,1,Tier1,0
ANTXR2,90,-95,-80,NA,2,0,NA,1,3,0,Tier1,0
ANTXRL,80,-90,-70,NA,3,0,NA,1,0,0,Tier1,0
ANXA1,70,-70,-65,9,1,0,NA,0,-2,0,Tier1,0
ANXA2,70,-80,-70,9,1,0,NA,0,-1,0,Tier1,0
AOC3,90,-90,-85,0,1,0,1,1,5,0,Tier1,0
APCDD1,0,0,0,NA,3,0,3,0,5,1,Tier1,0
APLNR,0,0,0,NA,3,0,3,1,5,1,Tier1,0
APLP1,80,-95,-85,10,1,0,3,1,0,1,Tier1,0
APLP2,-90,-90,80,0,2,0,3,1,4,1,Tier1,0
APMAP,0,0,0,10,3,0,2,1,0,0,Tier1,0
APOB,0,0,0,-1,2,0,3,0,-2,1,Tier1,0
APOBR,80,-90,-70,10,2,0,NA,0,5,0,Tier1,0
APOD,-85,80,-70,9,2,0,3,0,0,1,Tier1,0
APOH,-80,80,-90,-1,3,0,3,0,0,1,Tier1,0
APP,100,-100,-100,-1,0,0,NA,1,-2,0,Tier1,0
AQP1,90,-99,-85,10,2,0,2,1,5,0,Tier1,0
AQP10,0,0,0,10,3,0,NA,1,5,0,Tier1,0
AQP11,0,0,0,10,1,0,NA,1,2,0,Tier1,0
AQP3,100,-100,-100,10,2,0,NA,1,5,0,Tier1,0
AQP4,90,-95,-95,15,2,0,NA,1,4,0,Tier1,0
AQP5,0,0,0,10,2,0,NA,1,3,0,Tier1,0
AQP6,80,-90,-70,NA,2,0,NA,1,3,0,Tier1,0
AQP8,85,-95,80,NA,2,0,NA,1,3,0,Tier1,0
AQP9,85,-95,-90,0,3,0,NA,1,5,0,Tier1,0
AREG,0,0,0,0,2,0,3,1,0,1,Tier1,0
ARHGAP45,80,-95,75,10,2,0,NA,0,4,0,Tier1,0
ARHGEF11,70,-95,80,10,1,0,NA,0,-1,0,Tier1,0
ARL13A,70,-95,80,10,3,0,NA,0,0,0,Tier1,0
ARL13B,80,-95,90,10,2,0,NA,0,4,0,Tier1,0
ARL14EP,60,-95,80,10,2,0,NA,0,-1,0,Tier1,0
ARMH4,70,-80,70,10,3,0,NA,1,0,0,Tier1,0
ARRDC4,100,-100,-100,10,0,0,NA,0,2,0,Tier1,0
ARSF,0,0,0,-1,2,0,3,1,-1,1,Tier1,0
ASAH2,100,-100,-100,10,1,0,NA,1,0,0,Tier1,0
ASAP1,60,-95,85,10,2,0,NA,0,-2,0,Tier1,0
ASAP2,90,-95,80,5,2,0,NA,0,0,0,Tier1,0
ASGR1,80,-95,-85,4,3,0,NA,1,-1,0,Tier1,0
ASGR2,80,-99,-90,10,2,0,NA,1,0,0,Tier1,0
ASIC1,90,-95,-85,10,2,0,NA,1,4,0,Tier1,0
ASIC2,100,-100,-100,NA,3,0,NA,1,5,0,Tier1,0
ASIC3,100,-100,-100,0,2,0,NA,1,4,0,Tier1,0
ASIC4,70,-95,-80,0,3,0,NA,1,5,0,Tier1,0
ASIC5,80,-95,-70,NA,3,0,NA,1,5,0,Tier1,0
ASPN,-65,75,-60,-1,3,0,3,0,-1,1,Tier1,0
ASPSCR1,80,-95,90,5,2,0,NA,0,-4,0,Tier1,0
ASTN1,90,-95,-80,0,2,0,NA,1,2,0,Tier1,0
ATG13,60,-95,85,5,1,0,NA,0,-1,0,Tier1,0
ATP10D,90,-98,85,10,2,0,NA,1,4,0,Tier1,0
ATP11C,85,-95,70,NA,2,0,NA,1,3,0,Tier1,0
ATP12A,90,-95,85,10,2,0,NA,1,5,0,Tier1,0
ATP13A3,70,-95,85,5,2,0,NA,1,4,0,Tier1,0
ATP13A5,-100,-100,100,10,2,0,NA,1,5,0,Tier1,0
ATP1A1,100,-100,-100,10,2,0,3,1,4,1,Tier1,0
ATP1A2,85,-95,-85,NA,2,0,NA,1,5,0,Tier1,0
ATP1A3,90,-98,85,NA,2,0,3,1,5,1,Tier1,0
ATP1B1,90,-95,-85,NA,2,0,3,1,5,1,Tier1,0
ATP1B2,85,-95,-75,NA,3,0,3,1,0,1,Tier1,0
ATP1B3,85,-98,-90,10,3,0,3,1,5,1,Tier1,0
ATP2A2,-100,-100,100,15,1,0,NA,1,4,0,Tier1,0
ATP2B1,90,-95,-75,10,2,0,NA,1,2,0,Tier1,0
ATP2B2,95,-95,-90,NA,3,0,NA,1,4,0,Tier1,0
ATP2B3,85,-95,80,NA,2,0,NA,1,5,0,Tier1,0
ATP2B4,80,-95,-70,10,1,0,NA,1,5,0,Tier1,0
ATP2C2,80,-95,75,10,2,0,NA,1,4,0,Tier1,0
ATP4A,100,-100,-100,NA,3,0,NA,1,5,0,Tier1,0
ATP4B,90,-95,85,10,3,0,NA,1,5,0,Tier1,0
ATP6AP1,70,-90,90,NA,1,0,3,1,-4,1,Tier1,0
ATP6AP1L,80,-90,-70,NA,3,0,NA,1,5,0,Tier1,0
ATP6V0A2,80,-95,90,15,1,0,3,1,0,1,Tier1,0
ATP7A,75,-95,70,0,1,0,NA,1,-1,0,Tier1,0
ATP8A2,70,-95,80,10,2,0,NA,1,3,0,Tier1,0
ATP8B1,70,-95,85,10,1,0,NA,1,3,0,Tier1,0
ATP8B2,80,-90,80,10,2,0,NA,1,4,0,Tier1,0
ATRN,85,-95,-85,-1,2,0,3,1,4,1,Tier1,0
ATRNL1,85,-90,-85,0,3,0,NA,1,0,0,Tier1,0
AVEN,100,-100,100,10,2,0,NA,0,0,0,Tier1,0
AVPR1A,80,-98,-90,NA,2,0,NA,1,0,0,Tier1,0
AVPR1B,80,-100,-80,NA,2,0,NA,1,5,0,Tier1,0
AVPR2,90,-95,-85,NA,2,0,NA,1,5,0,Tier1,0
AXL,95,-95,-95,10,3,0,3,1,5,1,Tier1,0
B2M,95,-90,-85,9,2,0,NA,0,4,0,Tier1,0
B3GALT2,80,-90,90,10,2,0,NA,1,-1,0,Tier1,0
B3GALT4,80,-95,-70,NA,2,0,NA,1,-1,0,Tier1,0
B3GALT5,80,-70,-70,NA,2,0,NA,1,-1,0,Tier1,0
B3GAT1,90,-70,-70,-1,2,0,NA,1,-3,0,Tier1,0
B3GAT2,80,-95,-80,NA,2,0,NA,1,0,0,Tier1,0
B3GNT3,80,-90,-70,NA,2,0,NA,1,-1,0,Tier1,0
B3GNT5,80,-95,-85,0,2,0,NA,1,-1,0,Tier1,0
B4GALNT3,90,-95,-80,0,2,0,NA,1,-1,0,Tier1,0
B4GALT2,80,-90,70,0,2,0,NA,1,0,0,Tier1,0
B4GALT3,80,-95,-70,0,2,0,1,1,0,0,Tier1,0
B4GALT6,80,-95,-70,NA,2,0,NA,1,-1,0,Tier1,0
BACE1,80,-95,-90,10,2,0,3,1,-3,1,Tier1,0
BACE2,80,-80,-70,NA,2,0,NA,1,4,0,Tier1,0
BAIAP2,80,-95,90,10,2,0,NA,0,0,0,Tier1,0
BAIAP2L1,80,-95,90,10,2,0,NA,0,-1,0,Tier1,0
BAMBI,90,-95,-85,0,2,0,NA,1,0,0,Tier1,0
BASP1,70,-90,70,10,1,0,NA,0,0,0,Tier1,0
BBOF1,70,-90,70,5,3,0,NA,0,-2,0,Tier1,0
BBS5,70,-95,80,5,1,0,NA,0,-1,0,Tier1,0
BCAM,100,-100,-100,0,3,0,3,1,5,1,Tier1,0
BCAN,70,70,-95,NA,2,2,3,0,-1,1,Tier1,0
BCAP29,99,-95,90,0,1,0,NA,1,4,0,Tier1,0
BCAR1,80,-95,90,10,2,0,NA,0,-2,0,Tier1,0
BCHE,-95,-90,80,NA,2,0,3,0,-1,1,Tier1,0
BDKRB1,80,-90,-80,NA,2,0,NA,1,5,0,Tier1,0
BDKRB2,90,-95,-90,10,2,0,NA,1,5,0,Tier1,0
BDNF,-90,75,-70,NA,2,0,3,1,-1,1,Tier1,0
BEST2,80,-95,75,0,3,0,NA,1,5,0,Tier1,0
BEST3,80,-95,-85,NA,3,0,NA,1,0,0,Tier1,0
BFSP1,80,-95,90,10,3,0,NA,0,4,0,Tier1,0
BGN,-60,75,-70,-1,2,0,3,0,-1,1,Tier1,0
BLVRB,70,-95,85,5,2,0,NA,0,-1,0,Tier1,0
BMP1,-80,60,60,NA,2,0,3,0,-2,1,Tier1,0
BMPR1A,100,-100,-100,0,2,0,NA,1,5,0,Tier1,0
BMPR1B,95,-95,-90,NA,2,0,NA,1,5,0,Tier1,0
BMPR2,90,-90,-70,10,1,0,3,1,5,1,Tier1,0
BOC,80,-90,-70,10,3,0,NA,1,5,0,Tier1,0
BORCS5,75,-95,85,10,1,0,NA,0,-2,0,Tier1,0
BRS3,85,-95,-90,NA,3,0,NA,1,0,0,Tier1,0
BSG,100,-100,-100,0,2,0,3,1,3,1,Tier1,0
BST1,90,-90,-90,NA,3,3,3,0,0,1,Tier1,0
BST2,80,-90,-80,0,2,3,3,1,3,1,Tier1,0
BTD,-99,-99,99,NA,2,0,3,0,-1,1,Tier1,0
BTLA,90,-95,-85,NA,3,0,3,1,5,1,Tier1,0
BTN1A1,80,-70,-70,NA,3,0,NA,1,0,0,Tier1,0
BTN2A1,80,-90,-70,10,3,0,3,1,0,1,Tier1,0
BTN2A2,70,-95,-80,0,3,0,NA,1,0,0,Tier1,0
BTN3A1,90,-95,-90,0,3,0,NA,1,5,0,Tier1,0
BTN3A2,80,-90,-70,NA,3,0,NA,1,5,0,Tier1,0
BTN3A3,80,-95,-90,10,2,0,3,1,5,1,Tier1,0
BTNL2,85,-95,-90,NA,3,0,NA,1,0,0,Tier1,0
BTNL3,100,-100,-100,NA,3,0,NA,1,0,0,Tier1,0
BTNL8,100,-100,-100,NA,3,0,NA,1,0,0,Tier1,0
BTNL9,100,-100,-100,0,3,0,NA,1,0,0,Tier1,0
BVES,70,-90,-70,10,2,0,3,1,5,1,Tier1,0
C11orf24,-100,-100,100,0,2,0,3,1,4,1,Tier1,0
C12orf49,-100,-100,100,NA,2,0,3,1,4,1,Tier1,0
C12orf73,-100,-100,100,5,1,0,NA,1,-1,0,Tier1,0
C12orf76,75,-90,70,NA,3,0,NA,1,0,0,Tier1,0
C14orf180,75,-90,-75,NA,3,0,NA,1,5,0,Tier1,0
C14orf93,50,60,-70,9,3,0,NA,0,-1,0,Tier1,0
C16orf54,70,-90,60,NA,3,0,NA,1,5,0,Tier1,0
C16orf58,70,-90,60,0,3,0,NA,1,5,0,Tier1,0
C16orf92,70,-80,-70,NA,3,0,NA,1,5,0,Tier1,0
C19orf38,50,-70,60,5,3,0,NA,1,0,0,Tier1,0
C1GALT1,80,-80,-80,0,2,0,NA,1,0,0,Tier1,0
C1orf116,80,-90,70,10,2,0,NA,0,-1,0,Tier1,0
C1orf159,50,-70,70,0,3,0,3,1,5,1,Tier1,0
C1orf185,70,-80,60,NA,3,0,NA,1,5,0,Tier1,0
C1orf210,85,-95,80,0,2,0,NA,1,4,0,Tier1,0
C1QTNF2,-90,90,-90,-1,3,0,3,0,-1,1,Tier1,0
C20orf141,80,-80,70,10,3,0,NA,1,5,0,Tier1,0
C20orf173,0,0,0,5,3,0,NA,1,0,0,Tier1,0
C2CD2L,-100,-100,100,10,2,0,NA,1,4,0,Tier1,0
C2orf74,70,-90,-60,0,3,0,NA,1,5,0,Tier1,0
C2orf92,70,-70,-70,NA,3,0,NA,1,5,0,Tier1,0
C3,-90,70,-70,NA,1,0,3,0,0,1,Tier1,0
C3AR1,90,-95,-85,NA,3,0,NA,1,0,0,Tier1,0
C3orf80,70,-80,60,NA,3,0,NA,1,5,0,Tier1,0
C4A,90,95,-90,NA,2,0,3,0,-3,1,Tier1,0
C4BPA,-90,90,-90,NA,3,0,3,0,0,1,Tier1,0
C4BPB,-70,70,-70,-1,3,0,3,0,0,1,Tier1,0
C5AR1,85,-100,-95,0,2,0,NA,1,3,0,Tier1,0
C5AR2,90,-95,-90,NA,3,0,NA,1,5,0,Tier1,0
C6orf120,-95,-95,80,NA,3,0,3,0,-1,1,Tier1,0
CA12,90,-95,-95,NA,3,0,3,1,5,1,Tier1,0
CA14,80,-95,-85,10,3,0,NA,1,0,0,Tier1,0
CA4,100,-100,-100,0,2,3,NA,0,5,0,Tier1,0
CA9,100,-100,-100,10,2,0,NA,1,4,0,Tier1,0
CACFD1,80,-80,70,0,1,0,NA,1,0,0,Tier1,0
CACHD1,0,0,0,0,3,0,3,1,0,1,Tier1,0
CACNA1C,90,-95,-85,15,2,0,NA,1,4,0,Tier1,0
CACNA1E,90,-99,-80,10,3,0,NA,1,5,0,Tier1,0
CACNA1I,0,0,0,15,3,0,NA,1,5,0,Tier1,0
CACNA2D1,0,0,0,NA,2,0,3,1,5,1,Tier1,0
CACNA2D2,0,0,0,5,3,0,3,0,0,1,Tier1,0
CACNG5,75,-100,-70,NA,3,0,NA,1,5,0,Tier1,0
CADM1,0,0,0,10,3,0,3,1,4,1,Tier1,0
CADM2,0,0,0,NA,3,0,3,1,3,1,Tier1,0
CADM3,0,0,0,NA,3,0,3,1,5,1,Tier1,0
CADM4,80,-90,-85,10,3,0,3,1,0,1,Tier1,0
CALCR,0,0,0,10,2,0,NA,1,5,0,Tier1,0
CALCRL,0,0,0,10,2,0,3,1,5,1,Tier1,0
CALHM3,85,-95,-85,NA,3,0,NA,1,5,0,Tier1,0
CALHM4,0,0,0,10,3,0,NA,1,5,0,Tier1,0
CALML5,75,-90,85,10,3,0,NA,0,0,0,Tier2,JG
CALN1,0,0,0,5,2,0,NA,1,3,0,Tier1,0
CALR,0,0,0,0,0,0,3,0,-1,1,Tier1,0
CALU,0,0,0,0,2,0,3,0,-4,1,Tier1,0
CAMK2D,80,-90,85,15,1,0,NA,0,4,0,Tier1,0
CANX,0,0,0,0,1,0,3,1,-2,1,Tier1,0
CAPNS1,0,0,0,0,1,0,3,0,4,1,Tier1,0
CARMIL1,70,-95,80,10,2,0,NA,0,4,0,Tier1,0
CASD1,0,0,0,0,2,0,3,1,4,1,Tier1,0
CATSPER2,0,0,0,5,3,0,NA,1,5,0,Tier1,0
CATSPERB,80,-85,-70,0,3,0,NA,1,5,0,Tier1,0
CAV3,90,-95,80,10,2,0,NA,0,4,0,Tier1,0
CAVIN1,90,-95,80,10,1,0,NA,0,0,0,Tier1,0
CCDC107,0,0,0,10,3,0,NA,1,5,0,Tier1,0
CCDC126,-90,-80,70,-1,3,0,3,1,-1,1,Tier1,0
CCDC136,0,0,0,10,3,0,NA,1,3,0,Tier1,0
CCDC144A,0,0,0,5,3,0,NA,1,0,0,Tier1,0
CCDC168,0,0,0,10,3,0,NA,1,5,0,Tier1,0
CCDC62,80,-95,85,10,1,0,NA,0,-3,0,Tier1,0
CCDC80,-80,-70,-80,NA,3,0,3,0,-1,1,Tier1,0
CCKAR,0,0,0,10,2,0,NA,1,0,0,Tier1,0
CCKBR,0,0,0,5,3,0,NA,1,0,0,Tier1,0
CCNYL1,100,-100,-100,10,3,0,NA,0,5,0,Tier1,0
CCR2,100,-100,-100,10,2,0,NA,1,5,0,Tier1,0
CCR3,90,-95,-85,10,3,0,NA,1,5,0,Tier1,0
CCR4,90,-95,-90,10,3,0,3,1,0,1,Tier1,0
CCR5,100,-100,-100,NA,2,0,NA,1,5,0,Tier1,0
CCR7,95,-95,-90,0,2,0,3,1,0,1,Tier1,0
CCR8,97,-99,-90,NA,3,0,NA,1,0,0,Tier1,0
CCR9,80,-90,-80,10,3,0,NA,1,5,0,Tier1,0
CCRL2,90,-95,-85,NA,3,0,NA,1,5,0,Tier1,0
CD101,70,-60,-70,0,3,0,3,1,0,1,Tier1,0
CD109,0,0,0,10,2,2,3,0,5,1,Tier1,0
CD14,100,-100,-100,-1,2,2,3,0,3,1,Tier1,0
CD151,100,-100,-100,NA,2,0,2,1,5,0,Tier1,0
CD160,100,-100,-100,NA,3,3,3,0,5,1,Tier1,0
CD163,90,-90,-80,9,2,0,3,1,4,1,Tier1,0
CD163L1,80,-95,-90,0,3,0,NA,1,4,0,Tier1,0
CD164,100,-100,-100,NA,2,0,3,1,2,1,Tier1,0
