gene_name,YES,NO,claude_summary
ALG1,0,10,0
ALG10,0,9,0
ALG10B,0,10,0
ALG11,0,10,0
ALG12,0,10,0
ALG14,0,10,0
ALG3,0,10,0
ALG5,0,10,0
ALG6,0,10,0
ALG8,0,10,0
ALG9,0,10,0
ALK,10,0,5
ALOX5AP,0,10,0
ALPG,2,8,1
ALPI,10,0,5
ALPL,10,0,5
ALPP,10,0,5
AMBP,1,9,1
AMER2,0,10,0
AMFR,2,8,1
AMHR2,10,0,5
AMIGO1,10,0,5
AMIGO2,10,0,5
AMIGO3,10,0,5
AMN,8,2,4
AMOT,1,9,1
AMOTL1,0,10,0
AMPH,1,9,1
ANGPT1,7,3,3
ANGPT2,10,0,5
ANGPTL1,8,2,4
ANGPTL2,9,1,4
ANGPTL3,2,8,1
ANGPTL4,8,2,4
ANGPTL8,5,5,3
ANK1,2,8,1
ANK2,0,10,0
ANK3,3,7,2
ANKH,9,0,5
ANKLE2,0,10,0
ANKRD13B,0,10,0
ANKRD46,0,10,0
ANO1,10,0,5
ANO10,9,1,4
ANO2,10,0,5
ANO3,9,0,5
ANO4,10,0,5
ANO5,9,1,4
ANO6,10,0,5
ANO7,10,0,5
ANO8,10,0,5
ANO9,10,0,5
ANPEP,10,0,5
ANTXR1,10,0,5
ANTXR2,9,0,5
ANTXRL,9,1,4
ANXA1,10,0,5
ANXA2,10,0,5
AOC2,8,2,4
AOC3,10,0,5
APCDD1,10,0,5
APH1A,0,10,0
APH1B,0,10,0
APLF,0,10,0
APLNR,10,0,5
APLP1,10,0,5
APLP2,10,0,5
APMAP,0,10,0
APOB,4,6,2
APOBR,0,10,0
APOC3,0,10,0
APOD,0,9,0
APOH,9,1,4
APOO,0,10,0
APOOL,1,9,1
APP,9,0,5
AQP1,10,0,5
AQP10,10,0,5
AQP11,0,10,0
AQP12A,4,6,2
AQP12B,1,9,1
AQP2,7,3,3
AQP3,10,0,5
AQP4,10,0,5
AQP5,10,0,5
AQP6,7,3,3
AQP7,9,1,4
AQP8,2,8,1
AQP9,10,0,5
AREG,10,0,5
AREL1,0,10,0
ARHGAP45,0,10,0
ARHGEF11,0,10,0
ARL13A,0,10,0
ARL13B,0,10,0
ARL14EP,0,10,0
ARL6IP1,0,10,0
ARL6IP5,0,10,0
ARL6IP6,0,10,0
ARMCX2,0,10,0
ARMH4,0,10,0
ARRDC4,3,7,2
ARSD,0,10,0
ARSE,0,10,0
ARSF,0,9,0
ARSH,0,9,0
ART1,10,0,5
ART3,10,0,5
ART4,10,0,5
ARV1,0,9,0
ASAH1,0,10,0
ASAH2,0,10,0
ASAP1,0,10,0
ASAP2,0,10,0
ASGR1,10,0,5
ASGR2,10,0,5
ASIC1,10,0,5
ASIC2,10,0,5
ASIC3,10,0,5
ASIC4,9,1,4
ASIC5,10,0,5
ASPH,0,10,0
ASPN,9,1,4
ASPSCR1,0,10,0
ASTN1,3,7,2
ASTN2,6,4,3
ATAD1,0,10,0
ATAD3A,0,10,0
ATAD3B,0,10,0
ATAD3C,0,10,0
ATF6,0,10,0
ATF6B,0,10,0
ATG13,0,10,0
ATG9A,8,2,4
ATG9B,1,9,1
ATL1,2,7,1
ATL2,1,9,1
ATL3,0,10,0
ATP10A,0,10,0
ATP10B,0,10,0
ATP10D,0,10,0
ATP11A,0,10,0
ATP11B,0,10,0
ATP11C,0,10,0
ATP12A,1,9,1
ATP13A1,2,8,1
ATP13A2,0,10,0
ATP13A3,2,8,1
ATP13A4,2,8,1
ATP13A5,1,9,1
ATP1A1,10,0,5
ATP1A2,9,0,5
ATP1A3,10,0,5
ATP1A4,10,0,5
ATP1B1,10,0,5
ATP1B2,10,0,5
ATP1B3,10,0,5
ATP1B4,10,0,5
ATP2A1,0,9,0
ATP2A2,0,10,0
ATP2A3,0,10,0
ATP2B1,8,2,4
ATP2B2,8,2,4
ATP2B3,9,1,4
ATP2B4,9,1,4
ATP2C1,0,10,0
ATP2C2,1,9,1
ATP4A,0,10,0
ATP4B,0,10,0
ATP5MC1,0,10,0
ATP5MC2,0,10,0
ATP5MC3,0,10,0
ATP5MD,0,10,0
ATP5ME,0,10,0
ATP5MF,0,10,0
ATP5MG,0,10,0
ATP5MGL,0,10,0
ATP5MPL,0,10,0
ATP5PB,0,10,0
ATP6AP1,0,10,0
ATP6AP1L,0,10,0
ATP6AP2,6,4,3
ATP6V0A1,0,10,0
ATP6V0A2,0,10,0
ATP6V0A4,0,10,0
ATP6V0B,0,10,0
ATP6V0C,0,10,0
ATP6V0E1,0,10,0
ATP6V0E2,0,10,0
ATP7A,1,9,1
ATP7B,0,10,0
ATP8A1,0,10,0
ATP8A2,1,8,1
ATP8B1,6,4,3
ATP8B2,1,9,1
ATP8B3,0,10,0
ATP8B4,1,9,1
ATP9A,0,10,0
ATP9B,0,9,0
ATRAID,1,9,1
ATRN,10,0,5
ATRNL1,10,0,5
AUP1,0,10,0
AVEN,0,10,0
AVPR1A,10,0,5
AVPR1B,10,0,5
AVPR2,9,0,5
AWAT1,0,10,0
AWAT2,0,10,0
AXL,10,0,5
B2M,10,0,5
B3GALNT1,0,10,0
B3GALT2,0,10,0
B3GALT4,0,10,0
B3GALT5,1,9,1
B3GAT1,7,3,3
B3GAT2,2,8,1
B3GAT3,5,5,3
B3GNT10,0,10,0
B3GNT2,0,10,0
B3GNT3,1,9,1
B3GNT5,0,10,0
B3GNT7,0,10,0
B4GALNT2,0,10,0
B4GALNT3,1,9,1
B4GALNT4,1,9,1
B4GALT1,5,4,3
B4GALT2,3,7,2
B4GALT3,3,7,2
B4GALT4,3,7,2
B4GALT5,0,9,0
B4GALT6,3,7,2
B4GALT7,1,9,1
BACE1,1,9,1
BACE2,3,7,2
BAIAP2,0,10,0
BAIAP2L1,0,10,0
BAMBI,7,3,3
BASP1,0,10,0
BBOF1,0,10,0
BBS5,0,10,0
BCAM,10,0,5
BCAN,8,2,4
BCAP29,0,10,0
BCAP31,0,10,0
BCAR1,0,10,0
BCHE,4,6,2
BCL2L10,0,10,0
BCL2L13,0,10,0
BCS1L,0,10,0
BDKRB1,9,0,5
BDKRB2,10,0,5
BDNF,9,1,4
BEAN1,0,10,0
BEST1,9,1,4
BEST2,8,2,4
BEST3,9,1,4
BEST4,9,1,4
BET1,0,10,0
BET1L,0,10,0
BFAR,0,10,0
BFSP1,0,10,0
BGN,1,9,1
BIK,0,10,0
BLCAP,0,10,0
BLVRB,0,10,0
BMP1,3,7,2
BMPER,7,3,3
BMPR1A,10,0,5
BMPR1B,10,0,5
BMPR2,10,0,5
BNIP1,0,10,0
BNIP3,0,10,0
BNIP3L,0,10,0
BOC,10,0,5
BORCS5,0,10,0
BRI3BP,0,10,0
BRICD5,0,10,0
BRS3,10,0,5
BSCL2,0,10,0
BSG,10,0,5
BSND,9,1,4
BST1,10,0,5
BST2,10,0,5
BTBD17,0,10,0
BTC,10,0,5
BTD,0,10,0
BTLA,10,0,5
BTN1A1,10,0,5
BTN2A1,9,0,5
BTN2A2,9,0,5
BTN3A1,9,0,5
BTN3A2,10,0,5
BTN3A3,9,0,5
BTNL2,10,0,5
BTNL3,9,0,5
BTNL8,10,0,5
BTNL9,10,0,5
BVES,10,0,5
BX255925.3,0,10,0
C10orf105,0,10,0
C11orf24,0,10,0
C11orf87,0,10,0
C12orf49,0,10,0
C12orf73,0,10,0
C12orf76,0,10,0
C14orf132,0,10,0
C14orf180,0,10,0
C14orf93,0,10,0
C15orf48,0,10,0
C15orf61,0,10,0
C16orf54,0,10,0
C16orf58,0,10,0
C16orf91,0,10,0
C16orf92,0,10,0
C17orf78,0,10,0
C17orf80,0,10,0
C18orf32,0,10,0
C19orf18,0,10,0
C19orf38,0,10,0
C1GALT1,0,10,0
C1QA,2,8,1
C1QTNF2,8,1,4
C1S,3,7,2
C1orf116,0,10,0
C1orf159,0,10,0
C1orf162,0,10,0
C1orf185,0,9,0
C1orf43,0,10,0
C2,4,6,2
C20orf141,0,10,0
C20orf173,0,10,0
C2CD2,0,10,0
C2CD2L,0,10,0
C2orf16,0,10,0
C2orf74,0,10,0
C2orf92,0,10,0
C3,10,0,5
C3AR1,10,0,5
C3orf18,0,10,0
C3orf33,0,10,0
C3orf52,0,10,0
C3orf80,0,10,0
C4A,9,1,4
C4BPA,7,3,3
C4BPB,10,0,5
C4orf3,0,10,0
C5,8,2,4
C5AR1,10,0,5
C5AR2,10,0,5
C5orf15,0,10,0
C6orf120,0,10,0
C6orf47,0,10,0
C6orf89,0,10,0
C8orf58,0,9,0
CA12,10,0,5
CA14,7,3,3
CA4,10,0,5
CA6,10,0,5
CA9,9,1,4
CABP7,0,10,0
CACFD1,0,10,0
CACHD1,0,10,0
CACNA1A,9,1,4
CACNA1B,10,0,5
CACNA1C,10,0,5
CACNA1D,10,0,5
CACNA1E,9,1,4
CACNA1F,6,4,3
CACNA1G,7,3,3
CACNA1H,7,3,3
CACNA1I,3,7,2
CACNA1S,5,5,3
CACNA2D1,10,0,5
CACNA2D2,9,1,4
CACNG1,10,0,5
CACNG2,9,1,4
CACNG3,9,1,4
CACNG4,10,0,5
CACNG5,8,2,4
CACNG6,9,1,4
CACNG7,9,1,4
CACNG8,10,0,5
CADM1,9,0,5
CADM2,10,0,5
CADM3,10,0,5
CADM4,9,0,5
CALCA,10,0,5
CALCR,10,0,5
CALCRL,10,0,5
CALHM1,10,0,5
CALHM2,6,4,3
CALHM3,8,2,4
CALHM4,6,4,3
CALHM5,6,4,3
CALHM6,5,5,3
CALN1,0,10,0
CALR,10,0,5
CALU,0,10,0
CALY,0,10,0
CAMK2D,0,10,0
CAMLG,0,10,0
CANT1,0,10,0
CANX,0,10,0
CAPNS1,0,10,0
CAPRIN1,0,10,0
CAPZA2,0,10,0
CARD19,0,10,0
CARMIL1,0,9,0
CASC4,0,10,0
CASD1,0,10,0
CASR,10,0,5
CATSPER1,6,4,3
CATSPER2,4,6,2
CATSPER3,3,7,2
CATSPER4,5,5,3
CATSPERB,1,9,1
CATSPERD,3,7,2
CATSPERE,5,5,3
CATSPERG,1,9,1
CAV3,8,1,4
CAVIN1,0,10,0
CBARP,1,9,1
CCDC107,0,10,0
CCDC126,0,10,0
CCDC136,0,10,0
CCDC144A,0,10,0
CCDC155,0,10,0
CCDC163,0,10,0
CCDC167,0,9,0
CCDC168,0,10,0
CCDC188,0,10,0
CCDC194,0,10,0
CCDC197,0,9,0
CCDC47,0,10,0
CCDC51,0,9,0
CCDC62,0,10,0
CCDC80,2,8,1
CCDC90B,0,9,0
CCKAR,10,0,5
CCKBR,10,0,5
CCL11,9,0,5
CCL2,8,2,4
CCL24,10,0,5
CCL5,10,0,5
CCNYL1,0,10,0
CCPG1,0,10,0
CCR1,10,0,5
CCR10,10,0,5
CCR2,10,0,5
CCR3,10,0,5
CCR4,10,0,5
CCR5,10,0,5
CCR6,10,0,5
CCR7,10,0,5
CCR8,10,0,5
CCR9,10,0,5
CCRL2,10,0,5
CD101,10,0,5
CD109,10,0,5
CD14,10,0,5
CD151,10,0,5
CD160,10,0,5
CD163,10,0,5
CD163L1,10,0,5
CD164,10,0,5
CD164L2,7,3,3
CD177,10,0,5
CD180,10,0,5
CD19,10,0,5
CD1A,10,0,5
CD1B,10,0,5
CD1C,9,0,5
CD1D,10,0,5
CD1E,10,0,5
CD2,10,0,5
CD200,10,0,5
CD200R1,10,0,5
CD200R1L,10,0,5
CD207,10,0,5
CD209,10,0,5
CD22,10,0,5
CD226,10,0,5
CD24,10,0,5
CD244,10,0,5
CD247,9,0,5
CD248,10,0,5
CD27,10,0,5
CD274,10,0,5
CD276,10,0,5
CD28,10,0,5
CD2AP,0,10,0
CD300A,10,0,5
CD300C,10,0,5
CD300E,10,0,5
CD300LB,10,0,5
CD300LD,10,0,5
CD300LF,10,0,5
CD300LG,10,0,5
CD302,10,0,5
CD320,10,0,5
CD33,9,0,5
CD34,10,0,5
CD36,10,0,5
CD37,10,0,5
CD38,10,0,5
CD3D,10,0,5
CD3E,10,0,5
CD3G,10,0,5
CD4,10,0,5
CD40,9,0,5
CD40LG,10,0,5
CD44,10,0,5
CD46,10,0,5
CD47,10,0,5
CD48,9,0,5
CD5,10,0,5
CD52,10,0,5
CD53,10,0,5
CD55,10,0,5
CD58,9,0,5
CD59,10,0,5
CD6,10,0,5
CD63,10,0,5
CD68,9,1,4
CD69,9,0,5
CD7,10,0,5
CD70,10,0,5
CD72,9,0,5
CD74,10,0,5
CD79A,10,0,5
CD79B,10,0,5
CD80,10,0,5
CD81,10,0,5
CD82,10,0,5
CD83,10,0,5
CD84,10,0,5
CD86,10,0,5
CD8A,10,0,5
CD8B,10,0,5
CD8B2,9,1,4
CD9,10,0,5
CD93,10,0,5
CD96,10,0,5
CD99,10,0,5
CD99L2,10,0,5
CDC42EP1,0,10,0
CDCP1,10,0,5
CDCP2,10,0,5
CDH1,10,0,5
CDH10,10,0,5
CDH11,10,0,5
CDH12,10,0,5
CDH13,10,0,5
CDH15,10,0,5
CDH16,10,0,5
CDH17,10,0,5
CDH18,10,0,5
CDH19,10,0,5
CDH2,10,0,5
CDH20,10,0,5
CDH22,10,0,5
CDH23,10,0,5
CDH24,10,0,5
CDH26,10,0,5
CDH3,10,0,5
CDH4,10,0,5
CDH5,10,0,5
CDH6,10,0,5
CDH7,10,0,5
CDH8,10,0,5
CDH9,10,0,5
CDHR1,10,0,5
CDHR2,10,0,5
CDHR3,10,0,5
CDHR4,10,0,5
CDHR5,10,0,5
CDIPT,0,10,0
CDKAL1,0,10,0
CDON,10,0,5
CDRT15L2,0,9,0
CDS1,0,10,0
CDS2,0,10,0
CDSN,10,0,5
CEACAM1,10,0,5
CEACAM19,10,0,5
CEACAM20,10,0,5
CEACAM21,9,0,5
CEACAM3,10,0,5
CEACAM4,10,0,5
CEACAM5,10,0,5
CEACAM6,10,0,5
CEACAM7,10,0,5
CEACAM8,10,0,5
CEBPZOS,0,10,0
CEL,0,10,0
CELSR1,10,0,5
CELSR2,10,0,5
CELSR3,10,0,5
CEMIP2,9,1,4
CEND1,0,10,0
CEP290,0,8,0
CEP55,0,10,0
CEPT1,0,10,0
CERS1,0,10,0
CERS2,0,9,0
CERS3,0,10,0
CERS4,0,10,0
CERS5,0,10,0
CERS6,0,10,0
CES2,0,10,0
CFB,9,1,4
CFC1,0,10,0
CFD,5,5,3
CFH,9,1,4
CFTR,10,0,5
CGN,9,1,4
CGREF1,0,10,0
CGRRF1,0,10,0
CH25H,0,10,0
CHGA,0,10,0
CHIC2,0,10,0
CHL1,10,0,5
CHML,0,9,0
CHODL,10,0,5
CHPF,0,10,0
CHPF2,0,10,0
CHPT1,0,10,0
CHRFAM7A,7,3,3
CHRM1,10,0,5
CHRM2,9,1,4
CHRM3,10,0,5
CHRM4,10,0,5
CHRM5,10,0,5
CHRNA1,10,0,5
CHRNA10,10,0,5
CHRNA2,10,0,5
CHRNA3,10,0,5
CHRNA4,10,0,5
CHRNA5,10,0,5
CHRNA6,10,0,5
CHRNA7,10,0,5
CHRNA9,10,0,5
CHRNB1,10,0,5
CHRNB2,10,0,5
CHRNB3,10,0,5
CHRNB4,10,0,5
CHRND,9,0,5
CHRNE,10,0,5
CHRNG,10,0,5
CHST10,0,10,0
CHST11,0,10,0
CHST12,0,9,0
CHST14,0,10,0
CHST15,0,10,0
CHST2,0,10,0
CHST3,0,9,0
CHST4,0,10,0
CHST5,0,10,0
CHST7,0,10,0
CHST8,0,10,0
CHST9,0,10,0
CHSY1,0,10,0
CHSY3,0,10,0
CISD2,0,10,0
CKAP4,10,0,5
CKLF,10,0,5
CLCA2,10,0,5
CLCC1,0,10,0
CLCN1,3,7,2
CLCN2,5,5,3
CLCN3,1,9,1
CLCN4,2,8,1
CLCN5,1,9,1
CLCN6,0,10,0
CLCN7,0,10,0
CLCNKA,10,0,5
CLCNKB,6,4,3
CLDN1,10,0,5
CLDN10,10,0,5
CLDN11,10,0,5
CLDN12,10,0,5
CLDN14,10,0,5
CLDN15,10,0,5
CLDN16,9,0,5
CLDN17,10,0,5
CLDN18,10,0,5
CLDN19,10,0,5
CLDN2,10,0,5
CLDN20,10,0,5
CLDN22,10,0,5
CLDN23,10,0,5
CLDN24,9,0,5
CLDN25,10,0,5
CLDN3,10,0,5
CLDN34,10,0,5
CLDN4,10,0,5
CLDN5,10,0,5
CLDN6,10,0,5
CLDN7,10,0,5
CLDN8,9,0,5
CLDN9,10,0,5
CLDND1,9,0,5
CLDND2,5,4,3
CLEC10A,10,0,5
CLEC12A,10,0,5
CLEC12B,10,0,5
CLEC14A,10,0,5
CLEC17A,8,2,4
CLEC1A,10,0,5
CLEC1B,10,0,5
CLEC2A,9,0,5
CLEC2D,10,0,5
CLEC2L,10,0,5
CLEC4A,10,0,5
CLEC4C,10,0,5
CLEC4D,10,0,5
CLEC4E,10,0,5
CLEC4F,10,0,5
CLEC4G,10,0,5
CLEC4M,9,0,5
CLEC5A,10,0,5
CLEC6A,9,0,5
CLEC7A,10,0,5
CLEC9A,10,0,5
CLGN,4,6,2
CLMN,1,9,1
CLMP,10,0,5
CLN3,0,10,0
CLN6,0,10,0
CLN8,0,10,0
CLPTM1,1,9,1
CLPTM1L,2,8,1
CLRN1,8,2,4
CLRN2,5,5,3
CLRN3,5,4,3
CLSTN1,9,1,4
CLSTN2,6,4,3
CLSTN3,8,2,4
CLTRN,8,2,4
CLU,8,2,4
CMKLR1,10,0,5
CMTM1,1,9,1
CMTM2,1,9,1
CMTM3,1,9,1
CMTM4,5,5,3
CMTM5,1,9,1
CMTM6,9,1,4
CMTM7,2,8,1
CMTM8,2,8,1
CMYA5,0,10,0
CNEP1R1,0,10,0
CNGA1,2,8,1
CNGA2,7,3,3
CNGA3,4,6,2
CNGA4,4,6,2
CNGB1,1,9,1
CNGB3,7,3,3
CNIH1,10,0,5
CNIH2,9,0,5
CNIH3,10,0,5
CNIH4,9,1,4
CNKSR2,0,9,0
CNMD,0,10,0
CNNM1,3,7,2
CNNM2,5,5,3
CNNM3,3,7,2
CNNM4,6,4,3
CNR1,10,0,5
CNR2,10,0,5
CNST,0,10,0
CNTFR,10,0,5
CNTN1,10,0,5
CNTN2,10,0,5
CNTN3,10,0,5
CNTN4,10,0,5
CNTN5,10,0,5
CNTN6,10,0,5
CNTNAP1,10,0,5
CNTNAP2,10,0,5
CNTNAP3,10,0,5
CNTNAP3B,9,1,4
CNTNAP4,10,0,5
CNTNAP5,10,0,5
COA1,0,10,0
COA3,0,10,0
COL11A1,1,8,1
COL12A1,5,5,3
COL13A1,3,7,2
COL14A1,0,10,0
COL17A1,10,0,5
COL1A1,2,8,1
COL1A2,0,10,0
COL23A1,0,10,0
COL25A1,1,9,1
COL2A1,1,9,1
COL3A1,1,9,1
COL5A1,0,9,0
COL5A2,0,9,0
COL5A3,2,8,1
COL6A1,5,5,3
COL6A2,5,5,3
COL6A3,6,4,3
COL6A6,3,7,2
COL7A1,1,9,1
COLEC12,10,0,5
COLQ,4,6,2
COMT,0,10,0
COPRS,0,10,0
COQ2,0,10,0
COQ8B,0,10,0
CORIN,10,0,5
COX10,0,10,0
COX11,0,10,0
COX14,0,10,0
COX15,0,10,0
COX16,0,10,0
COX18,0,10,0
COX20,0,10,0
COX4I1,0,9,0
COX4I2,0,10,0
COX6A1,0,10,0
COX6A2,0,10,0
COX6C,0,10,0
COX7A1,0,10,0
COX7A2,0,9,0
COX7A2L,0,10,0
COX7B,0,10,0
COX7B2,0,10,0
COX7C,0,10,0
COX8A,0,10,0
COX8C,0,10,0
CP,5,4,3
CPAMD8,0,10,0
CPD,2,8,1
CPED1,0,10,0
CPM,9,1,4
CPPED1,0,10,0
CPT1A,0,10,0
CPT1B,0,10,0
CPT1C,0,10,0
CPZ,0,10,0
CR1,10,0,5
CR2,10,0,5
CRB1,9,1,4
CRB2,10,0,5
CRB3,10,0,5
CRCP,0,10,0
CREB3,0,10,0
CREB3L1,0,10,0
CREB3L2,0,10,0
CREB3L3,0,10,0
CREB3L4,0,10,0
CREG1,9,1,4
CRELD1,4,6,2
CRELD2,1,9,1
CRHR1,10,0,5
CRHR2,10,0,5
CRIM1,3,6,2
CRLF2,10,0,5
CRLF3,9,1,4
CRLS1,0,10,0
CROCC,0,10,0
CRTAM,10,0,5
CRTAP,0,10,0
CRTC1,0,10,0
CSDE1,0,10,0
CSF1,9,1,4
CSF1R,10,0,5
CSF2,8,2,4
CSF2RA,10,0,5
CSF2RB,10,0,5
CSF3,3,7,2
CSF3R,10,0,5
CSGALNACT1,0,10,0
CSGALNACT2,0,10,0
CSMD1,8,2,4
CSMD2,9,1,4
CSMD3,10,0,5
CSPG4,10,0,5
CSPG5,9,1,4
CSPP1,0,10,0
CT83,0,10,0
CTAGE1,0,10,0
CTAGE15,0,9,0
CTAGE4,0,10,0
CTAGE6,0,10,0
CTAGE8,0,10,0
CTAGE9,0,10,0
CTLA4,10,0,5
CTNNA1,0,10,0
CTNNB1,0,10,0
CTNND1,0,9,0
CTNND2,0,9,0
CTNS,2,8,1
CTSD,0,10,0
CTXN1,5,5,3
CTXN2,6,4,3
CTXN3,1,9,1
CTXND1,1,7,1
CTXND2,0,9,0
CUX1,0,10,0
CUZD1,3,7,2
CWH43,0,10,0
CX3CL1,10,0,5
CX3CR1,10,0,5
CXADR,10,0,5
CXCL10,10,0,5
CXCL16,10,0,5
CXCL8,9,1,4
CXCR1,10,0,5
CXCR2,10,0,5
CXCR3,10,0,5
CXCR4,10,0,5
CXCR5,10,0,5
CXCR6,10,0,5
CXorf66,0,10,0
CYB561,0,10,0
CYB561A3,0,10,0
CYB561D1,0,10,0
CYB561D2,0,10,0
CYB5A,0,9,0
CYB5B,0,10,0
CYB5D2,0,10,0
CYBA,1,9,1
CYBB,0,10,0
CYBC1,0,10,0
CYBRD1,4,6,2
CYC1,0,10,0
CYHR1,0,10,0
CYP19A1,0,10,0
CYP1A1,0,10,0
CYP1A2,0,10,0
CYP20A1,0,10,0
CYP21A2,0,10,0
CYP26A1,0,10,0
CYP26C1,0,10,0
CYP2A13,0,10,0
CYP2A6,0,10,0
CYP2A7,0,10,0
CYP2C19,0,10,0
CYP2C8,0,10,0
CYP2C9,0,10,0
CYP2D6,0,10,0
CYP2E1,0,10,0
CYP2F1,0,10,0
CYP2J2,0,10,0
CYP2S1,0,10,0
CYP2U1,0,10,0
CYP2W1,0,10,0
CYP39A1,0,10,0
CYP3A4,0,10,0
CYP3A43,0,10,0
CYP3A5,0,9,0
CYP3A7,0,9,0
CYP46A1,0,10,0
CYP4A11,0,10,0
CYP4A22,0,10,0
CYP4B1,0,10,0
CYP4F11,0,10,0
CYP4F12,0,10,0
CYP4F2,0,10,0
