gene_rank,gene_name,target_score,Rank_JG,Rank_JV,Rank_ML,Rank_AVG,bias_check,notes,apical,target_val,specificity,n_off_targets,off_targets,surface,pos_low,pos_med,pos_hi,tx_id,tx_type,tx_score,tx_n_mem,tx_ecd,tx_summary,tx_n_aa,gly_n_link,gly_o_link,p_positive_0.01
17,FLT3,3.371,,2,,2,,,not_apical,5.801;5.427,0.4,9,adipose:myeloid cell;blood:monocyte;bone_marrow:LMPP;bone_marrow:progenitor-DC;CNS_forebrain:interneuron-SST+;CNS_telencephalon:interneuron-SST+;liver:macrophage;lymph_node:cDC;lymph_node:myeloid cell,0.94,0.9850746269,0.9402985075,0.3731343284,ENST00000380987;ENST00000241453;ENST00000469894,SP+TM;SP+TM;NA,49;49;2,1;1;NA,514-514;514-514;NA-NA,27S.514O.21M.177I;27S.514O.21M.431I;NA,739;993;NA,N43;N100;N151;N306;N323;N351;N354;N473;N502;N541,,1
18,MPO,3.386,,3,,3,,,not_apical,38.946;36.894,0.96,6,blood:GMP;bone_marrow:GMP;bone_marrow:LMPP;bone_marrow:progenitor-DC;spleen:neutrophil;thymus:cDC,0.12,0.8656716418,0.6119402985,0.2686567164,ENST00000225275;ENST00000580005;ENST00000581022,SP;NA;NA,71;17;5,0;NA;NA,697-697;NA-NA;NA-NA,48S.697O;NA;NA,745;NA;NA,N139;N323;N355;N391;N483;N729,,0.99
19,IGLL1,3.386,,1.75,,1.75,,Good in some samples,not_apical,12.51;5.059,0.9,8,bone_marrow:GMP;bone_marrow:HSC;bone_marrow:LMPP;bone_marrow:progenitor-B;bone_marrow:progenitor-DC;lymph_node:endothelial cell;pan:T cell;pbmc:HSPC;testes:non immune,0.12,0.7910447761,0.5373134328,0.2686567164,ENST00000330377;ENST00000438703;ENST00000249053,SP;SP;SP,37;36;27,0;0;0,169-169;136-136;40-40,44S.169O;44S.136O;44S.40O,213;180;84,,T117;S193,0.93
20,CTSG,3.386,,3,,3,,GMP marker maybe on early,not_apical,7.839;7.466,0.7,9,bladder:mast cell;blood:GMP;bone_marrow:GMP;esophagus:mast cell;lung:basophil/mast;lymph_node:mast cell;pan:pDC;pan:T cell;skeletal_muscle:mast cell,0.19,0.7910447761,0.5223880597,0.2089552239,ENST00000552252;ENST00000216336,NA;SP,50;50,NA;0,NA-NA;237-237,NA;18S.237O,NA;255,N71,,0.96
21,ELANE,3.443,,,,#DIV/0!,,,not_apical,21.457;19.273,0.93,5,blood:GMP;blood:plasma cell;bone_marrow:GMP;skin:stromal cell-secretory paplillary;spleen:neutrophil,0.12,0.6119402985,0.328358209,0.1343283582,ENST00000590230;ENST00000263621,SP;SP,52;48,0;0,240-240;240-240,27S.240O;27S.240O,267;267,N88;N124;N173,,0.96
22,NPBWR1,3.471,,,,#DIV/0!,,,not_apical,0.036;0.011,0.43,0,,0.75,0,0,0,ENST00000331251,TM,92,7,13-37,37O.26M.10I.22M.15O.22M.24I.21M.24O.23M.26I.23M.13O.24M.18I,328,N3;N13;N25,,0.04
23,C20orf141,3.486,,,,#DIV/0!,,,not_apical,0.123;0.025,0.44,1,testes:lymphocyte;testes:macrophage;testes:non immune;thymus:mTEC,0.81,0.01492537313,0,0,ENST00000380589;ENST00000603872,TM;TM,34;33,2;2,6-6;6-6,46I.18M.6O.15M.80I;46I.18M.6O.15M.80I,165;165,,,0.06
24,TRH,3.486,,,,#DIV/0!,,,not_apical,4.275;2.861,0.72,4,CNS_hindbrain:interneuron-SST+;eye:astrocyte;eye:glial cell;eye:Muller cell,0.12,0.3134328358,0.1343283582,0.0447761194,ENST00000507066;ENST00000302649,SP;SP,51;49,0;0,214-214;218-218,24S.214O;24S.218O,238;242,,,0.63
25,OR10Z1,3.486,,,,#DIV/0!,,,not_apical,0.011;0.007,0.71,5,blood:HSC;bone_marrow:progenitor-RBC;liver:erythroid cell;spine:endothelial cell-proliferating;thymus:erythrocyte,0.69,0,0,0,ENST00000641002;ENST00000361284,TM;TM,99;1,7;7,11-32;11-32,24O.25M.9I.21M.18O.23M.23I.21M.32O.26M.18I.20M.11O.21M.21I;24O.25M.9I.21M.18O.23M.23I.21M.32O.26M.18I.20M.11O.21M.21I,313;313,N5,,0.04
26,OR52N2,3.5,,,,#DIV/0!,,,not_apical,0.007;0,0.41,2,kidney:podocyte;testes:non immune;thymus:mTEC,0.81,0,0,0,ENST00000317037,TM,92,7,13-30,26O.25M.9I.24M.15O.23M.24I.19M.30O.26M.21I.21M.13O.21M.24I,321,N5,,0
27,FMR1NB,3.514,,,,#DIV/0!,,,not_apical,0.068;0,0.41,3,spine:dorsal root ganglion;spine:motor neuron-excitatory;spine:neuron;testes:macrophage;testes:non immune,0.81,0.01492537313,0,0,ENST00000370467;ENST00000489034,TM;TM,42;16,2;1,93-93;13-13,68I.22M.93O.21M.51I;13O.21M.51I,255;85,,,0.01
28,SIGLECL1,3.514,,,,#DIV/0!,,,not_apical,0.034;0,0.46,3,adrenal_gland:macrophage;pan:pDC;spine:neuron;testes:non immune,0.88,0,0,0,ENST00000597610;ENST00000614422;ENST00000316401,TM;SP+TM;SP+TM,20;16;16,1;1;1,117-117;107-107;107-107,117O.21M.2I;10S.107O.21M.59I;10S.107O.21M.59I,140;197;197,,,0.01
29,OR2W3,3.514,,,,#DIV/0!,,,not_apical,0.007;0.007,0.39,8,appendix:epithelial cell;bile_duct:fibroblast;blood:erythrocyte;bone_marrow:HSC;bone_marrow:progenitor-Mk;bone_marrow:progenitor-RBC;common_bile_duct:fibroblast;pan:NK,0.81,0,0,0,ENST00000360358,TM,100,7,12-33,25O.23M.10I.21M.18O.23M.22I.21M.33O.26M.18I.20M.12O.18M.24I,314,N5,,0.03
30,CTAG2,3.543,,,,#DIV/0!,,,not_apical,3.578;0.027,0.8,0,testes:non immune,0.12,0.0447761194,0.01492537313,0.01492537313,ENST00000247306;ENST00000369585,GLOB;GLOB,46;20,0;0,NA-NA;NA-NA,210I;180I,210;180,,,0.07
31,RHOXF2,3.543,,,,#DIV/0!,,,not_apical,0.07;0,0.7,0,testes:non immune,0.12,0,0,0,ENST00000371388,GLOB,91,0,NA-NA,288I,288,,,0.01
32,RHOXF2B,3.543,,,,#DIV/0!,,,not_apical,0.034;0,0.62,0,testes:non immune,0.12,0,0,0,ENST00000371402,GLOB,73,0,NA-NA,288I,288,,,0.01
33,NEU4,3.543,,,,#DIV/0!,,,not_apical,2.617;1.262,0.38,3,CNS_diencephalon:oligodendrocyte-mature;CNS_hindbrain:oligodendrocyte-Pons/medulla;CNS_midbrain:oligodendrocyte-Pons/medulla,0.06,0.4776119403,0.223880597,0.02985074627,ENST00000618597;ENST00000407683;ENST00000435855,NA;GLOB;GLOB,9;9;9,NA;0;0,NA-NA;NA-NA;NA-NA,NA;484I;158I,NA;484;158,,,0.72
34,CACNA2D4,3.543,,,,#DIV/0!,,,not_apical,2.117;1.284,0.35,6,colon:macrophage;colon:myeloid cell;eye:photoreceptor cell-rod;liver:monocyte;pan:T cell CD8;spine:neuron;testes:macrophage;testes:non immune,0.06,0.5074626866,0.1940298507,0.02985074627,ENST00000538027;ENST00000538450;ENST00000585385,GLOB;GLOB;GLOB,8;7;7,0;0;0,282-282;267-267;56-56,282O;267O;56O,282;267;56,N201;N664,,0.91
35,IL31RA,3.557,,,,#DIV/0!,,,not_apical,0.233;0.221,0.35,8,adrenal_gland:endothelial cell;rectum:monocyte;spine:dorsal root ganglion;spine:neuron;thymus:cTEC;thymus:epithelial cell;thymus:epithelial cell-lymphatic;thymus:mTEC-immature,0.75,0.05970149254,0,0,ENST00000354961;ENST00000651239;ENST00000297015,SP+TM;NA;SP+TM,13;13;13,1;NA;1,500-500;NA-NA;500-500,32S.500O.21M.109I;NA;32S.500O.21M.192I,662;NA;745,N37;N67;N93;N166;N187;N277;N283;N395;N455;N504,,0.1
36,SIGLEC12,3.571,,,,#DIV/0!,,,not_apical,0.58;0.337,0.36,7,appendix:leukocyte;colon:macrophage;lymph_node:macrophage;lymph_node:macrophage-lipid metabolism;pancreas:macrophage;pancreas:monocyte;small_intestine:macrophage,0.94,0.08955223881,0.02985074627,0,ENST00000291707;ENST00000596742;ENST00000598614,SP+TM;SP;SP+TM,45;41;14,1;0;1,463-463;136-136;353-353,18S.463O.21M.93I;18S.136O;10S.353O.21M.93I,595;154;477,N140;N179;N230;N290;N360;N367;N385,,0.4
37,CRYGD,3.586,,,,#DIV/0!,,,not_apical,1.47;0.802,0.4,2,eye:stromal cell;ovary:non immune;pbmc:HSPC,0.06,0.4029850746,0.1044776119,0.01492537313,ENST00000264376,GLOB,100,0,NA-NA,174I,174,,,0.63
38,CLEC2A,3.586,,,,#DIV/0!,,,not_apical,0.386;0.1,0.36,4,skin:fibroblast-secretory papillary;skin:keratinocytes-diff;skin:keratinocytes-undiff;skin:mast cell,0.88,0.0447761194,0.01492537313,0,ENST00000455827;ENST00000339766,TM;TM,47;35,1;1,128-128;114-114,27I.19M.128O;28I.18M.114O,174;160,N78;N130;N143,,0.12
39,CEBPE,3.657,,,,#DIV/0!,,,not_apical,0.361;0.07,0.42,3,blood:GMP;blood:granulocyte;spleen:neutrophil,0.12,0.02985074627,0.01492537313,0,ENST00000206513,GLOB,100,0,NA-NA,281I,281,,,0.3
40,MX1,4.486,,,,#DIV/0!,,,not_apical,20.893;4.031,0.58,8,appendix:endothelial cell-arterial;heart:endothelial cell-other;ovary:non immune;pan:pDC;pbmc:monocyte-CD14;thymus:endothelial cell;thymus:endothelial cell-arterial;thymus:endothelial cell-proliferating;thymus:Treg,0.25,0.7462686567,0.3880597015,0.1492537313,ENST00000398598;ENST00000398600;ENST00000455164,GLOB;GLOB;GLOB,13;12;10,0;0;0,NA-NA;NA-NA;NA-NA,662I;662I;662I,662;662;662,,,0.97
41,RHAG,4.5,,,,#DIV/0!,,,not_apical,2.646;1.135,0.61,6,bone_marrow:progenitor-RBC;eye:erythrocyte-replicating;heart:neuron;liver:erythroid cell;lymph_node:erythrocyte;thymus:erythrocyte,0.88,0.07462686567,0.02985074627,0,ENST00000371175;ENST00000646272;ENST00000646939,TM;TM;TM,16;15;13,12;12;11,4-27;4-27;2-37,3I.21M.27O.21M.4I.21M.16O.21M.6I.20M.8O.21M.19I.21M.10O.21M.9I.22M.4O.19M.18I.20M.10O.21M.26I;3I.21M.27O.21M.4I.21M.16O.21M.6I.20M.8O.21M.19I.21M.10O.21M.9I.22M.4O.21M.16I.21M.9O.21M.50I;3I.21M.27O.21M.4I.21M.16O.21M.6I.20M.8O.21M.19I.21M.11O.21M.9I.21M.2O.10M.1I.10M.37O,409;433;351,N37;N355,,0.16
42,ITGA2B,4.5,,,,#DIV/0!,,,not_apical,3.507;1.343,0.57,7,blood:megakaryocyte;blood:MEP;blood:platelet;bone_marrow:progenitor-Mk;bone_marrow:progenitor-RBC;heart:lymphocyte;pbmc:platelet,1,0.3582089552,0.07462686567,0.01492537313,ENST00000262407;ENST00000648408;ENST00000592462,SP+TM;GLOB;NA,43;22;20,1;0;NA,966-966;811-811;NA-NA,31S.966O.21M.21I;811O;NA,1039;811;NA,N46;N280;N601;N711;N962,S874;S878;S603;S876,0.7
43,ABHD17C,4.514,,,,#DIV/0!,,,not_apical,7.281;1.831,0.54,5,adrenal_gland:endothelial cell-lymphatic;colon:colonocyte;rectum:enterocyte;rectum:goblet;spine:stromal cell,0.19,0.6268656716,0.2835820896,0.05970149254,ENST00000258884;ENST00000558464;ENST00000559506,GLOB;GLOB;NA,47;47;5,0;0;NA,NA-NA;NA-NA;NA-NA,329I;295I;NA,329;295;NA,,,0.91
44,SLC2A5,4.529,,,,#DIV/0!,,,apical,3.645;1.34,0.5,8,adrenal_gland:macrophage;CNS_diencephalon:microglial cell;CNS_forebrain:microglial cell;CNS_hindbrain:microglial cell;CNS_midbrain:microglial cell;CNS_telencephalon:microglial cell;small_intestine:enterocyte;spine:microglial cell;testes:non immune,1,0.6417910448,0.2388059701,0.02985074627,ENST00000377424;ENST00000377414;ENST00000473209,TM;TM;TM,19;15;12,12;5;2,4-32;4-62;29-29,16I.23M.32O.22M.4I.24M.4O.26M.8I.24M.8O.21M.65I.14M.23O.25M.3I.23M.5O.19M.19I.26M.4O.21M.42I;16I.23M.32O.22M.6I.22M.4O.26M.8I.23M.62O;16I.23M.29O.12M.1I,501;244;81,N51,,0.96
45,VSTM1,4.557,,,,#DIV/0!,,,not_apical,1.255;0.755,0.35,4,blood:GMP;blood:granulocyte;pbmc:monocyte-CD14;spleen:monocyte-CD14,0.94,0.3134328358,0.1641791045,0,ENST00000447872;ENST00000376626;ENST00000338372,SP+TM;SP;SP+TM,19;19;18,1;0;1,119-119;189-189;119-119,16S.119O.21M.18I;16S.189O;16S.119O.21M.80I,174;205;236,N44;N55,,0.55
46,OTOF,4.557,,,,#DIV/0!,,,not_apical,1.165;0.611,0.41,5,CNS_diencephalon:DRG;CNS_diencephalon:excitatory neuron;CNS_hindbrain:Dorsal Root ganglion cell;CNS_hindbrain:interneuron-SST+;spine:motor neuron-excitatory,0.69,0.0447761194,0.0447761194,0,ENST00000339598;ENST00000402415;ENST00000338581,TM;TM;TM,19;14;14,1;1;1,11-11;13-13;12-12,1198I.21M.11O;1221I.16M.13O;1197I.21M.12O,1230;1250;1230,,,0.13
47,MPIG6B,4.557,,,,#DIV/0!,,,not_apical,0.975;0.89,0.35,7,blood:megakaryocyte;blood:MEP;blood:platelet;bone_marrow:progenitor-Mk;heart:lymphocyte;pbmc:platelet;stomach:mast cell,0.75,0.2388059701,0.07462686567,0,ENST00000375809;ENST00000649779;ENST00000375810,SP+TM;SP+TM;SP+TM,13;13;9,1;1;1,125-125;125-125;125-125,17S.125O.21M.74I;17S.125O.21M.78I;17S.125O.21M.59I,237;241;222,N32,T73,0.7
48,MAGEA4,4.571,,,,#DIV/0!,,,not_apical,0.102;0,0.83,0,testes:non immune,0.06,0.01492537313,0,0,ENST00000360243;ENST00000393920;ENST00000416020,GLOB;GLOB;GLOB,1;1;1,0;0;0,NA-NA;NA-NA;NA-NA,317I;317I;230I,317;317;230,,,0.01
49,TFDP3,4.571,,,,#DIV/0!,,,not_apical,0.07;0,0.8,0,testes:non immune,0.06,0,0,0,ENST00000310125,GLOB,17,0,NA-NA,405I,405,,,0.01
50,HSH2D,4.571,,,,#DIV/0!,,,not_apical,5.781;5.014,0.36,9,adipose:NKT;adipose:NKT-metallothionein rich;bone_marrow:HSC;bone_marrow:LMPP;bone_marrow:progenitor-Mk;colon:plasma cell;heart:NK/T;pan:B cell;pan:NK,0.12,1,0.9701492537,0.6417910448,ENST00000616070;ENST00000616645;ENST00000613986,GLOB;GLOB;GLOB,17;16;16,0;0;0,NA-NA;NA-NA;NA-NA,69I;352I;352I,69;352;352,,,1
51,ACTL8,4.586,,,,#DIV/0!,,,not_apical,0.36;0,0.65,0,testes:non immune,0.06,0.01492537313,0,0,ENST00000375406;ENST00000617065,GLOB;GLOB,30;28,0;0,NA-NA;NA-NA,366I;366I,366;366,,,0.01
52,CEMIP,4.6,,,,#DIV/0!,,,not_apical,7.383;0.502,0.36,9,CNS_diencephalon:Leptomeningeal cell;CNS_hindbrain:endothelial cell;CNS_midbrain:Vascular leptomeningeal cell;CNS_telencephalon:pericyte;spine:dorsal root ganglion;spine:fibroblast;spine:fibroblast-progenitor;spine:motor neuron-excitatory;spine:stromal cell,0.19,0.1791044776,0.02985074627,0.01492537313,ENST00000220244;ENST00000394685;ENST00000356249,SP;SP;SP,33;33;33,0;0;0,1331-1331;1331-1331;1331-1331,30S.1331O;30S.1331O;30S.1331O,1361;1361;1361,N119;N165;N312;N370;N420;N889;N921,,0.42
53,AC087498.1,4.614,,,,#DIV/0!,,,not_apical,0.009;0,0.35,6,CNS_forebrain:microglial cell;CNS_hindbrain:Dorsal Root ganglion cell;eye:bipolar cell;pan:NK;pan:pDC;pan:T cell CD8;testes:non immune,0.62,0,0,0,ENST00000572493,TM,75,7,12-31,25O.24M.12I.21M.15O.23M.24I.22M.31O.21M.21I.21M.12O.17M.25I,314,,,0.01
54,KLRF2,4.614,,,,#DIV/0!,,,not_apical,0.11;0.036,0.37,6,colon:NKT-proliferating;pan:NK;pan:T cell CD8;spine:neuron;stomach:mast cell;thymus:immune cell,0.88,0.01492537313,0,0,ENST00000535540,TM,75,1,156-156,33I.18M.156O,207,N67;N202,,0.04
55,UGT2B11,4.614,,,,#DIV/0!,,,not_apical,0.042;0.011,0.39,9,bile_duct:cholangiocytes;bile_duct:stem-like cell;common_bile_duct:cholangiocytes;common_bile_duct:stem-like cell;liver:cholangiocytes;liver:hepatocyte-pericentral;liver:hepatocyte-periportal;pbmc:platelet;rectum:goblet,0.81,0,0,0,ENST00000446444;ENST00000513315,SP+TM;NA,56;26,1;NA,467-467;NA-NA,23S.467O.26M.13I;NA,529;NA,N315,,0.01
56,DYTN,4.686,,,,#DIV/0!,,,not_apical,0.202;0.131,0.37,5,bone_marrow:HSC;bone_marrow:LMPP;bone_marrow:progenitor-Mk;CNS_hindbrain:astrocyte progenitor;spine:neuron,0.06,0.1641791045,0.01492537313,0,ENST00000452335;ENST00000477734,GLOB;NA,51;49,0;NA,NA-NA;NA-NA,578I;NA,578;NA,,,0.78
57,VPREB1,4.714,,,,#DIV/0!,,,not_apical,0.45;0.253,0.45,4,bone_marrow:LMPP;bone_marrow:progenitor-B;bone_marrow:progenitor-DC;pan:T cell,0.06,0.1492537313,0.01492537313,0,ENST00000403807;ENST00000302273,SP;SP,51;49,0;0,126-126;126-126,19S.126O;18S.126O,145;144,,,0.46
58,GNA15,5.614,,,,#DIV/0!,,,not_apical,11.247;8.459,0.44,8,blood:platelet;esophagus:epithelial cell-suprabasal;liver:DC;ovary:myeloid cell;pan:B cell;pan:pDC;pan:T cell;thymus:erythrocyte;thymus:plasma cell-proliferating,0.06,1,0.9402985075,0.8358208955,ENST00000262958;ENST00000592455;ENST00000586082,GLOB;GLOB;NA,80;18;2,0;0;NA,NA-NA;NA-NA;NA-NA,374I;52I;NA,374;52;NA,,,1
59,MYB,5.614,,,,#DIV/0!,,,not_apical,3.861;2.661,0.41,9,blood:GMP;blood:HSC;bone_marrow:HSC;bone_marrow:LMPP;bone_marrow:progenitor-B;bone_marrow:progenitor-Mk;bone_marrow:progenitor-RBC;pan:T cell;pbmc:HSPC,0.06,1,0.7910447761,0.2835820896,ENST00000341911;ENST00000616088;ENST00000316528,GLOB;GLOB;GLOB,4;3;3,0;0;0,NA-NA;NA-NA;NA-NA,761I;660I;726I,761;660;726,,,1
60,APOC2,5.629,,,,#DIV/0!,,,not_apical,15.561;3.072,0.4,9,bile_duct:cDC;bile_duct:myeloid cell;common_bile_duct:DC;kidney:MNP-d/Tissue macrophage;liver:erythroid cell;liver:hepatocyte;liver:hepatocyte-interzonal;liver:hepatocyte-periportal;liver:LSEC,0.06,0.5373134328,0.3134328358,0.07462686567,ENST00000252490;ENST00000590360;ENST00000585786,SP;SP;SP,23;20;20,0;0;0,79-79;79-79;50-50,22S.79O;22S.79O;22S.50O,101;101;72,,T35;T23;S33,0.75
61,HOXA7,5.671,,,,#DIV/0!,,,not_apical,2.387;0.963,0.35,4,kidney:podocyte;lymph_node:endothelial cell;pan:T cell;pbmc:HSPC;testes:non immune,0.06,0.8208955224,0.447761194,0.01492537313,ENST00000242159;ENST00000519842;ENST00000523796,GLOB;GLOB;NA,65;24;11,0;0;NA,NA-NA;30-30;NA-NA,230I;30O;NA,230;30;NA,,,0.93
62,IFNB1,5.757,,,,#DIV/0!,,,not_apical,0.021;0,0.36,5,colon:cDC;colon:myeloid cell;esophagus:macrophage;heart:MNP;ovary:myeloid cell;prostate:leukocyte,0.06,0,0,0,ENST00000380232,SP,67,0,166-166,21S.166O,187,N101,,0.01
63,LINC00477,5.757,,,,#DIV/0!,,,not_apical,0.021;0,0.43,5,CNS_diencephalon:microglial cell;CNS_forebrain:microglial cell;CNS_midbrain:microglial cell;CNS_telencephalon:microglial cell;spine:microglial cell;testes:macrophage;testes:non immune,0.06,0,0,0,ENST00000483544,,50,,NA-NA,,,,,0.01
64,GYPA,6.757,,,,#DIV/0!,,,not_apical,0.199;0,0.39,9,blood:erythrocyte;blood:erythrocyte-progenitor;bone_marrow:progenitor-RBC;eye:erythrocyte;eye:erythrocyte-replicating;eye:microglial cell-replicating;liver:erythroid cell;lymph_node:erythrocyte;thymus:erythrocyte,0.94,0.0447761194,0,0,ENST00000360771;ENST00000641688;ENST00000642295,SP+TM;SP+TM;SP+TM,8;8;7,1;1;1,74-74;74-74;72-72,19S.74O.21M.36I;19S.74O.21M.36I;19S.72O.23M.31I,150;150;145,N45,S21;T22;T23;T29;S30;T31;S32;T36;S38;S41;T44;T52;T56;S63;S66;T69,0.06
4108,CD33,8,,,,#DIV/0!,,,not_apical,1.575;1.361,0.08,10,pbmc:cDC;pbmc:monocyte-CD14;appendix:mast cell;blood:cDC;blood:myeloid cell;pbmc:ASDC;blood:monocyte;bone_marrow:cDC2;stomach:mast cell;blood:monocyte-CD14,1,0.8955223881,0.6417910448,0.0447761194,ENST00000262262;ENST00000601785;ENST00000391796,SP+TM;NA;SP+TM,23;21;21,1;NA;1,245-245;NA-NA;244-244,16S.245O.21M.82I;NA;16S.244O.21M.29I,364;NA;310,N100;N113;N160;N209;N230,T239;T240,0.97
